shelfNetworkRole,NE,shelfHardware,interface,Recurso,portBandwidth,EstadoRed,EstadoLisy,DescRed,DescLisy,EvEstado
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE8/0/5,IC1.SLO1100GE8/0/5,100GE,up,Available,TRK:ENLACE:RSC1NA (Hu0/5/0/5) (S4-006 88SLO02 0/20/1) Linea:15009121,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE8/0/6,IC1.SLO1100GE8/0/6,100GE,up,Available,TRK:ENLACE:RSC1NA (Hu0/5/0/6) (S4-007 88SLO02 0/1/1) Linea:15009122,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE8/0/7,IC1.SLO1100GE8/0/7,100GE,up,Available,TRK:ENLACE:RSC1NA (Hu0/5/0/7) (S4-008 88SLO02 0/5/1) Linea:15009123,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE9/0/0,IC1.SLO1100GE9/0/0,100GE,up,Available,TRK:ENLACE:MUN1NA (Hu0/15/0/0) (32FIB01 2/15/C2) Linea:15008588,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE9/0/1,IC1.SLO1100GE9/0/1,100GE,up,Available,TRK:ENLACE:MUN1NA (Hu0/15/0/1) (32FIB01 2/15/C1) Linea:15008589,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE9/0/2,IC1.SLO1100GE9/0/2,100GE,up,Available,TRK:ENLACE:MUN1NA (Hu0/15/0/2) (32FIB01 2/7/C1)  Linea:15008590,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE9/0/3,IC1.SLO1100GE9/0/3,100GE,up,Available,TRK:ENLACE:MUN1NA (Hu0/15/0/3) (32FIB01 1/16/C1) Linea:15008554,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE9/0/4,IC1.SLO1100GE9/0/4,100GE,up,Available,TRK:ENLACE:MUN1NA (Hu0/15/0/5) (32FIB01 1/16/C2) Linea:15008382,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE9/1/3,IC1.SLO1100GE9/1/3,100GE,up,Available,TRK:ENLACE:ROE1.HOR1 (Hu0/1/0/3) (S001_8 98SLO01 4/2) Linea:15009204,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE9/1/4,IC1.SLO1100GE9/1/4,100GE,up,Available,TRK:ENLACE:ROE1.HOR1 (Hu0/2/0/3) (S001_9 98SLO01 13/1) Linea:15009205,NaN,revisar
