shelfNetworkRole,NE,shelfHardware,interface,Recurso,portBandwidth,EstadoRed,EstadoLisy,DescRed,DescLisy,EvEstado
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/1/0,IC1.HOR1100GE9/1/0,100GE,up,Active,TRK:ENLACE:ROS6.SLO1 (Hu0/5/0/0) (S006_1 98HOR01 1C/6/1),NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/1/1,IC1.HOR1100GE9/1/1,100GE,up,Active,TRK:ENLACE:ROS6.SLO1 (Hu0/5/0/1) (S006_2 98HOR01 1C/6/2),NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/1/2,IC1.HOR1100GE9/1/2,100GE,up,Active,TRK:ENLACE:ROS6.SLO1 (Hu0/5/1/0) (S006_3 98HOR01 1C/7/1),NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/1/3,IC1.HOR1100GE9/1/3,100GE,up,Active,TRK:ENLACE:ROE1.SLO1 (Hu0/7/0/0) (S004_8 98HOR02 8/2) Linea:15009213,Linea:15009213,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/1/4,IC1.HOR1100GE9/1/4,100GE,up,Active,TRK:ENLACE:ROE1.SLO1 (Hu0/7/0/1) (S004_9 98HOR02 14/1) Linea:15009214,Linea:15009214,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/1/5,IC1.HOR1100GE9/1/5,100GE,up,Active,TRK:ENLACE:ROE1.SLO1 (Hu0/7/0/2) (S004_10 98HOR02 14/2) Linea:15009215,Linea:15009215,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/1/6,IC1.HOR1100GE9/1/6,100GE,up,Active,TRK:ENLACE:BEL1NA (Hu0/17/0/2) (98HOR01 3/1) Linea: 15009094,Linea: 15009094,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/1/7,IC1.HOR1100GE9/1/7,100GE,up,Active,TRK:ENLACE:BEL1NA (Hu0/17/0/3) (98HOR01 3/2) Linea: 15009095,Linea: 15009095,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/1/8,IC1.HOR1100GE9/1/8,100GE,up,Active,TRK:ENLACE:BEL1NA (Hu0/17/0/4) (98HOR01 5/1) Linea: 15009096,Linea: 15009096 - BEL1NA,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/1/9,IC1.HOR1100GE9/1/9,100GE,up,Active,TRK:ENLACE:BEL1NA (Hu0/17/0/5) (98HOR01 5/2) Linea: 15009097,Linea: 15009097 - BEL1NA,ok_reserva
